Reference, Value, Footprint, Datasheet
P2,FTDI,esp:Pin_Header_Straight_1x06,
P1,V_SEL,esp:Pin_Header_Straight_1x03,
P4,TX_SEL,esp:Pin_Header_Straight_1x03,
P3,ESP-01,esp:Pin_Header_Straight_2x04,
R1,1k,esp:Resistor_Horizontal_RM10mm,
R6,1k8,esp:Resistor_Horizontal_RM10mm,
R2,10k,esp:Resistor_Horizontal_RM10mm,
R3,10k,esp:Resistor_Horizontal_RM10mm,
R4,10k,esp:Resistor_Horizontal_RM10mm,
R5,10k,esp:Resistor_Horizontal_RM10mm,
SW1,RST,esp:SW_PUSH_SMALL,
SW2,GIPO0,esp:SW_PUSH_SMALL,
D1,LED,esp:LED-3MM,
U1,AP1117D33,esp:A1117,
C1,10uF,esp:Capacitor5x6RM2.5,
C2,10uF,esp:Capacitor5x6RM2.5,
